"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YDL243C",180.836821968952,0.285492565951689,0.148083195226101,1.927920082463,0.0538650673882084,0.132184745523173
"YDR387C",578.881730011982,0.0761500014948702,0.107944623079154,0.705454327623438,0.480527545130977,0.649170352661224
"YDL094C",15.4307592319552,0.107007365555055,0.460478044319089,0.23238320887435,0.816240389376196,0.895080125369803
"YDR438W",270.331384974813,-0.0491618130795984,0.136876730550713,-0.359168522522415,0.719469023057397,0.835660418636751
"YDR523C",24.3425044791124,0.651457635154561,0.410222774159464,1.58805818738216,0.112273182056835,0.232305079946866
"YDR542W",4.69773679730335,1.1599654335823,0.846478247036309,1.37034287371657,0.170579895529767,NA
"YDR492W",458.578851246705,0.23763529236036,0.110668899835961,2.14726352853056,0.0317723076297857,0.0876536833797339
"YDR018C",81.5294365566062,0.349052828617461,0.215554630171231,1.61932419795475,0.105377526883198,0.221946873862956
"YDL189W",900.739844148054,-0.175020530748482,0.0897152187234862,-1.95084550022575,0.0510754274096484,0.126662083076789
"YDR508C",3192.62979767827,0.444867235416824,0.0823961882887831,5.39912397230862,6.69670879338932e-08,9.23329510384243e-07
"YDR462W",553.525873823184,0.0863812055176116,0.109243257048832,0.790723453796322,0.42910538659154,0.602938969703503
"YDR175C",666.774478732309,-0.112783103263765,0.103160574888672,-1.0932771883588,0.274272115455524,0.442603456064027
"YDR186C",1430.21499676209,0.301561586320265,0.0903658837511926,3.33711765770547,0.000846521041233136,0.00431598540889148
"YDR150W",826.621204506203,0.0315726562161877,0.120659461246963,0.261667472155918,0.793577820412201,0.882620278890877
"YDR243C",195.758398741501,-0.26941819440928,0.152456369909645,-1.76718227364952,0.0771977073851095,0.174897476523831
"YDL182W",5153.02023165668,1.65093891507473,0.102905143326885,16.0433080573087,6.36705700895501e-58,1.25451561969991e-55
"YDR362C",560.582992231694,0.07200808207279,0.101102714829047,0.712226988113494,0.476324227400296,0.645956567708928
"YDR232W",875.984237107956,-0.219874818811755,0.102101495220614,-2.15349264314558,0.0312799816606973,0.0864907777200268
"YDR158W",8366.86779312314,1.24575636451778,0.0794704815142641,15.6757117961363,2.21727100542521e-55,3.98326214739329e-53
"YDR439W",219.782654161132,-0.350017682304399,0.137219695858143,-2.5507831081789,0.0107481190341575,0.0364112651473287
"YDL206W",480.591457088853,0.232095933546219,0.1120674156538,2.07103851009835,0.0383551973701002,0.100806172778215
"YDR125C",185.755932351068,0.192452168088625,0.148751556682368,1.29378254843794,0.195740542356988,0.347048833879967
"YDR338C",297.124904780434,-0.117450888283737,0.133273526284384,-0.881276961435803,0.37816793258062,0.553389969382469
"YDR526C",0.713904102575992,0.154900219227892,2.23789515340103,0.0692169242122372,0.944816951842736,NA
"YDR533C",570.111923803771,0.701237393711486,0.124121736469574,5.64959380731337,1.60827403443871e-08,2.48692096262067e-07
"YDR272W",1444.02769941269,0.137974570175829,0.124648446231467,1.10690966752699,0.268332985683294,0.435592680520279
"YDR197W",315.373930266997,0.0216163382519452,0.120913820580236,0.178774751705088,0.858114571096716,0.920344828842624
"YDR512C",519.800725791942,0.389937678314995,0.123712376276611,3.15196983560583,0.00162173025642404,0.00754091941777304
"YDR489W",192.904683402222,-0.214433925959989,0.149997194660116,-1.42958624290196,0.152835806260962,0.289105328164124
"YDR299W",545.804827525306,-0.916843552678936,0.173301459919043,-5.29045487041619,1.22012526747026e-07,1.58564364546986e-06
